"Posição","Nome","Localidade","2003","Unidade","Multiplicador"
"1","Incidência da pobreza","Abaiara","61.68","%",1
"1","Incidência da pobreza","Acarape","57.94","%",1
"1","Incidência da pobreza","Acaraú","65.71","%",1
"1","Incidência da pobreza","Acopiara","67.71","%",1
"1","Incidência da pobreza","Aiuaba","66.83","%",1
"1","Incidência da pobreza","Alcântaras","49.48","%",1
"1","Incidência da pobreza","Altaneira","73.46","%",1
"1","Incidência da pobreza","Alto Santo","58.34","%",1
"1","Incidência da pobreza","Amontada","69.32","%",1
"1","Incidência da pobreza","Antonina do Norte","76.94","%",1
"1","Incidência da pobreza","Apuiarés","59.25","%",1
"1","Incidência da pobreza","Aquiraz","69.89","%",1
"1","Incidência da pobreza","Aracati","48.81","%",1
"1","Incidência da pobreza","Aracoiaba","63.19","%",1
"1","Incidência da pobreza","Ararendá","66.79","%",1
"1","Incidência da pobreza","Araripe","74.30","%",1
"1","Incidência da pobreza","Aratuba","51.46","%",1
"1","Incidência da pobreza","Arneiroz","65.47","%",1
"1","Incidência da pobreza","Assaré","65.03","%",1
"1","Incidência da pobreza","Aurora","49.22","%",1
"1","Incidência da pobreza","Baixio","54.51","%",1
"1","Incidência da pobreza","Banabuiú","56.10","%",1
"1","Incidência da pobreza","Barbalha","52.51","%",1
"1","Incidência da pobreza","Barreira","54.83","%",1
"1","Incidência da pobreza","Barro","57.76","%",1
"1","Incidência da pobreza","Barroquinha","66.14","%",1
"1","Incidência da pobreza","Baturité","55.62","%",1
"1","Incidência da pobreza","Beberibe","58.50","%",1
"1","Incidência da pobreza","Bela Cruz","65.62","%",1
"1","Incidência da pobreza","Boa Viagem","64.79","%",1
"1","Incidência da pobreza","Brejo Santo","55.75","%",1
"1","Incidência da pobreza","Camocim","63.52","%",1
"1","Incidência da pobreza","Campos Sales","61.37","%",1
"1","Incidência da pobreza","Canindé","62.97","%",1
"1","Incidência da pobreza","Capistrano","64.21","%",1
"1","Incidência da pobreza","Caridade","67.68","%",1
"1","Incidência da pobreza","Cariré","63.47","%",1
"1","Incidência da pobreza","Caririaçu","62.88","%",1
"1","Incidência da pobreza","Cariús","61.21","%",1
"1","Incidência da pobreza","Carnaubal","57.77","%",1
"1","Incidência da pobreza","Cascavel","61.41","%",1
"1","Incidência da pobreza","Catarina","64.27","%",1
"1","Incidência da pobreza","Catunda","64.41","%",1
"1","Incidência da pobreza","Caucaia","52.83","%",1
"1","Incidência da pobreza","Cedro","58.74","%",1
"1","Incidência da pobreza","Chaval","63.92","%",1
"1","Incidência da pobreza","Choró","72.01","%",1
"1","Incidência da pobreza","Chorozinho","57.73","%",1
"1","Incidência da pobreza","Coreaú","61.71","%",1
"1","Incidência da pobreza","Crateús","54.03","%",1
"1","Incidência da pobreza","Crato","44.30","%",1
"1","Incidência da pobreza","Croatá","66.52","%",1
"1","Incidência da pobreza","Cruz","61.51","%",1
"1","Incidência da pobreza","Deputado Irapuan Pinheiro","59.08","%",1
"1","Incidência da pobreza","Ererê","72.24","%",1
"1","Incidência da pobreza","Eusébio","75.48","%",1
"1","Incidência da pobreza","Farias Brito","63.78","%",1
"1","Incidência da pobreza","Forquilha","60.33","%",1
"1","Incidência da pobreza","Fortaleza","43.17","%",1
"1","Incidência da pobreza","Fortim","64.66","%",1
"1","Incidência da pobreza","Frecheirinha","60.89","%",1
"1","Incidência da pobreza","General Sampaio","63.27","%",1
"1","Incidência da pobreza","Graça","68.84","%",1
"1","Incidência da pobreza","Granja","67.72","%",1
"1","Incidência da pobreza","Granjeiro","67.22","%",1
"1","Incidência da pobreza","Groaíras","59.07","%",1
"1","Incidência da pobreza","Guaiúba","69.57","%",1
"1","Incidência da pobreza","Guaraciaba do Norte","59.02","%",1
"1","Incidência da pobreza","Guaramiranga","53.42","%",1
"1","Incidência da pobreza","Hidrolândia","62.58","%",1
"1","Incidência da pobreza","Horizonte","67.69","%",1
"1","Incidência da pobreza","Ibaretama","64.05","%",1
"1","Incidência da pobreza","Ibiapina","48.73","%",1
"1","Incidência da pobreza","Ibicuitinga","58.88","%",1
"1","Incidência da pobreza","Icapuí","41.00","%",1
"1","Incidência da pobreza","Icó","57.42","%",1
"1","Incidência da pobreza","Iguatu","51.19","%",1
"1","Incidência da pobreza","Independência","54.12","%",1
"1","Incidência da pobreza","Ipaporanga","62.98","%",1
"1","Incidência da pobreza","Ipaumirim","55.19","%",1
"1","Incidência da pobreza","Ipu","53.51","%",1
"1","Incidência da pobreza","Ipueiras","60.12","%",1
"1","Incidência da pobreza","Iracema","61.21","%",1
"1","Incidência da pobreza","Irauçuba","64.88","%",1
"1","Incidência da pobreza","Itaiçaba","52.06","%",1
"1","Incidência da pobreza","Itaitinga","64.12","%",1
"1","Incidência da pobreza","Itapajé","57.07","%",1
"1","Incidência da pobreza","Itapipoca","57.01","%",1
"1","Incidência da pobreza","Itapiúna","67.03","%",1
"1","Incidência da pobreza","Itarema","67.99","%",1
"1","Incidência da pobreza","Itatira","73.14","%",1
"1","Incidência da pobreza","Jaguaretama","57.88","%",1
"1","Incidência da pobreza","Jaguaribara","58.27","%",1
"1","Incidência da pobreza","Jaguaribe","49.17","%",1
"1","Incidência da pobreza","Jaguaruana","56.23","%",1
"1","Incidência da pobreza","Jardim","58.41","%",1
"1","Incidência da pobreza","Jati","54.35","%",1
"1","Incidência da pobreza","Jijoca de Jericoacoara","53.46","%",1
"1","Incidência da pobreza","Juazeiro do Norte","52.14","%",1
"1","Incidência da pobreza","Jucás","65.86","%",1
"1","Incidência da pobreza","Lavras da Mangabeira","58.58","%",1
"1","Incidência da pobreza","Limoeiro do Norte","39.92","%",1
"1","Incidência da pobreza","Madalena","58.99","%",1
"1","Incidência da pobreza","Maracanaú","55.53","%",1
"1","Incidência da pobreza","Maranguape","58.54","%",1
"1","Incidência da pobreza","Marco","60.67","%",1
"1","Incidência da pobreza","Martinópole","66.57","%",1
"1","Incidência da pobreza","Massapê","65.16","%",1
"1","Incidência da pobreza","Mauriti","62.18","%",1
"1","Incidência da pobreza","Meruoca","60.65","%",1
"1","Incidência da pobreza","Milagres","53.31","%",1
"1","Incidência da pobreza","Milhã","58.88","%",1
"1","Incidência da pobreza","Miraíma","72.72","%",1
"1","Incidência da pobreza","Missão Velha","54.66","%",1
"1","Incidência da pobreza","Mombaça","59.92","%",1
"1","Incidência da pobreza","Monsenhor Tabosa","60.19","%",1
"1","Incidência da pobreza","Morada Nova","54.39","%",1
